Rule   (Support, Confidence) 
microwave -> 2  (69.0265%, 100%)
door -> 2  (34.5133%, 100%)
time -> 2  (26.5487%, 100%)
like -> 2  (24.7788%, 100%)
more -> 2  (24.7788%, 100%)
good -> 2  (23.8938%, 100%)
two -> 2  (23.0088%, 100%)
its -> 2  (22.1239%, 100%)
new -> 2  (19.469%, 100%)
year -> 2  (19.469%, 100%)
great -> 2  (17.6991%, 100%)
oven -> 2  (17.6991%, 100%)
months -> 2  (16.8142%, 100%)
423421857 -> 2  (15.9292%, 100%)
bought -> 2  (15.9292%, 100%)
im -> 2  (15.9292%, 100%)
replace -> 2  (15.9292%, 100%)
doesnt -> 2  (15.0442%, 100%)
open -> 2  (15.0442%, 100%)
product -> 2  (15.0442%, 100%)
work -> 2  (15.0442%, 100%)
buy -> 2  (14.1593%, 100%)
dont -> 2  (14.1593%, 100%)
same -> 2  (14.1593%, 100%)
unit -> 2  (14.1593%, 100%)
br -> 2  (13.2743%, 100%)
microwaves -> 2  (13.2743%, 100%)
repair -> 2  (13.2743%, 100%)
worked -> 2  (13.2743%, 100%)
didnt -> 2  (12.3894%, 100%)
enough -> 2  (12.3894%, 100%)
fit -> 2  (12.3894%, 100%)
ge -> 2  (12.3894%, 100%)
got -> 2  (12.3894%, 100%)
light -> 2  (12.3894%, 100%)
model -> 2  (12.3894%, 100%)
service -> 2  (12.3894%, 100%)
there -> 2  (12.3894%, 100%)
better -> 2  (11.5044%, 100%)
button -> 2  (11.5044%, 100%)
cooking -> 2  (11.5044%, 100%)
food -> 2  (11.5044%, 100%)
handle -> 2  (11.5044%, 100%)
made -> 2  (11.5044%, 100%)
old -> 2  (11.5044%, 100%)
problem -> 2  (11.5044%, 100%)
put -> 2  (11.5044%, 100%)
turn -> 2  (11.5044%, 100%)
working -> 2  (11.5044%, 100%)
appliance -> 2  (10.6195%, 100%)
buttons -> 2  (10.6195%, 100%)
close -> 2  (10.6195%, 100%)
fine -> 2  (10.6195%, 100%)
loud -> 2  (10.6195%, 100%)
make -> 2  (10.6195%, 100%)
power -> 2  (10.6195%, 100%)
purchase -> 2  (10.6195%, 100%)
replaced -> 2  (10.6195%, 100%)
small -> 2  (10.6195%, 100%)
stopped -> 2  (10.6195%, 100%)
top -> 2  (10.6195%, 100%)
used -> 2  (10.6195%, 100%)
warranty -> 2  (10.6195%, 100%)
amazon -> 2  (9.7345%, 100%)
cant -> 2  (9.7345%, 100%)
day -> 2  (9.7345%, 100%)
part -> 2  (9.7345%, 100%)
right -> 2  (9.7345%, 100%)
seconds -> 2  (9.7345%, 100%)
see -> 2  (9.7345%, 100%)
space -> 2  (9.7345%, 100%)
sure -> 2  (9.7345%, 100%)
appliances -> 2  (8.8496%, 100%)
arrived -> 2  (8.8496%, 100%)
issue -> 2  (8.8496%, 100%)
ive -> 2  (8.8496%, 100%)
kitchen -> 2  (8.8496%, 100%)
know -> 2  (8.8496%, 100%)
minutes -> 2  (8.8496%, 100%)
price -> 2  (8.8496%, 100%)
purchased -> 2  (8.8496%, 100%)
quality -> 2  (8.8496%, 100%)
return -> 2  (8.8496%, 100%)
take -> 2  (8.8496%, 100%)
thing -> 2  (8.8496%, 100%)
using -> 2  (8.8496%, 100%)
weeks -> 2  (8.8496%, 100%)
wont -> 2  (8.8496%, 100%)
bad -> 2  (7.9646%, 100%)
bit -> 2  (7.9646%, 100%)
broke -> 2  (7.9646%, 100%)
came -> 2  (7.9646%, 100%)
cost -> 2  (7.9646%, 100%)
damaged -> 2  (7.9646%, 100%)
expensive -> 2  (7.9646%, 100%)
going -> 2  (7.9646%, 100%)
heat -> 2  (7.9646%, 100%)
hot -> 2  (7.9646%, 100%)
makes -> 2  (7.9646%, 100%)
plastic -> 2  (7.9646%, 100%)
replacement -> 2  (7.9646%, 100%)
reviews -> 2  (7.9646%, 100%)
things -> 2  (7.9646%, 100%)
think -> 2  (7.9646%, 100%)
thought -> 2  (7.9646%, 100%)
