Rule   (Support, Confidence) 
microwave -> 5  (56.5868%, 100%)
great -> 5  (41.9162%, 100%)
423421857 -> 5  (26.0479%, 100%)
easy -> 5  (17.8144%, 100%)
love -> 5  (17.8144%, 100%)
good -> 5  (17.515%, 100%)
perfect -> 5  (17.0659%, 100%)
kitchen -> 5  (16.4671%, 100%)
small -> 5  (16.4671%, 100%)
space -> 5  (16.4671%, 100%)
its -> 5  (15.1198%, 100%)
product -> 5  (15.1198%, 100%)
like -> 5  (13.9222%, 100%)
kitchen -> microwave  (13.4731%, 81.8182%)
new -> 5  (12.4251%, 100%)
price -> 5  (12.2754%, 100%)
counter -> 5  (11.6766%, 100%)
size -> 5  (11.6766%, 100%)
like -> microwave  (11.5269%, 82.7957%)
time -> 5  (11.0778%, 100%)
nice -> 5  (10.7784%, 100%)
oven -> 5  (10.479%, 100%)
new -> microwave  (10.479%, 84.3373%)
fit -> 5  (10.0299%, 100%)
more -> 5  (10.0299%, 100%)
counter -> microwave  (10.0299%, 85.8974%)
fits -> 5  (9.4311%, 100%)
unit -> 5  (9.4311%, 100%)
used -> 5  (9.4311%, 100%)
oven -> microwave  (9.1317%, 87.1429%)
old -> 5  (8.8323%, 100%)
recommend -> 5  (8.3832%, 100%)
perfectly -> 5  (8.0838%, 100%)
more -> microwave  (8.0838%, 80.597%)
523301568 -> 5  (7.9341%, 100%)
cooking -> 5  (7.9341%, 100%)
used -> microwave  (7.7844%, 82.5397%)
br -> 5  (7.6347%, 100%)
old -> microwave  (7.6347%, 86.4407%)
771401205 -> 5  (7.485%, 100%)
bought -> 5  (7.485%, 100%)
same -> 5  (7.485%, 100%)
dont -> 5  (7.3353%, 100%)
happy -> 5  (7.3353%, 100%)
microwaves -> 5  (7.1856%, 100%)
plate -> 5  (7.1856%, 100%)
sharp -> 5  (7.0359%, 100%)
cooking -> microwave  (7.0359%, 88.6792%)
827502283 -> 5  (6.8862%, 100%)
corner -> 5  (6.8862%, 100%)
far -> 5  (6.8862%, 100%)
food -> 5  (6.8862%, 100%)
there -> 5  (6.8862%, 100%)
enough -> 5  (6.7365%, 100%)
large -> 5  (6.7365%, 100%)
install -> 5  (6.5868%, 100%)
same -> microwave  (6.5868%, 88%)
109226352 -> 5  (6.4371%, 100%)
buy -> 5  (6.4371%, 100%)
door -> 5  (6.4371%, 100%)
purchase -> 5  (6.4371%, 100%)
dont -> microwave  (6.4371%, 87.7551%)
best -> 5  (6.2874%, 100%)
sharp -> microwave  (6.2874%, 89.3617%)
button -> 5  (6.1377%, 100%)
cook -> 5  (6.1377%, 100%)
needed -> 5  (6.1377%, 100%)
there -> microwave  (6.1377%, 89.1304%)
295520151 -> 5  (5.988%, 100%)
looking -> 5  (5.988%, 100%)
quality -> 5  (5.8383%, 100%)
things -> 5  (5.8383%, 100%)
food -> microwave  (5.8383%, 84.7826%)
large -> microwave  (5.8383%, 86.6667%)
clean -> 5  (5.6886%, 100%)
excellent -> 5  (5.5389%, 100%)
using -> 5  (5.5389%, 100%)
button -> microwave  (5.5389%, 90.2439%)
cook -> microwave  (5.5389%, 90.2439%)
big -> 5  (5.3892%, 100%)
right -> 5  (5.3892%, 100%)
fine -> 5  (5.2395%, 100%)
ive -> 5  (5.2395%, 100%)
power -> 5  (5.2395%, 100%)
worked -> 5  (5.2395%, 100%)
best -> microwave  (5.2395%, 83.3333%)
needed -> microwave  (5.2395%, 85.3659%)
things -> microwave  (5.2395%, 89.7436%)
295520151 -> microwave  (5.0898%, 85%)
didnt -> 5  (5.0898%, 100%)
found -> 5  (5.0898%, 100%)
got -> 5  (5.0898%, 100%)
im -> 5  (5.0898%, 100%)
installed -> 5  (5.0898%, 100%)
job -> 5  (5.0898%, 100%)
model -> 5  (5.0898%, 100%)
295520151 -> 5,microwave  (5.0898%, 85%)
295520151,5 -> microwave  (5.0898%, 85%)
295520151,microwave -> 5  (5.0898%, 100%)
features -> 5  (4.9401%, 100%)
popcorn -> 5  (4.9401%, 100%)
range -> 5  (4.9401%, 100%)
take -> 5  (4.9401%, 100%)
better -> 5  (4.7904%, 100%)
ge -> 5  (4.7904%, 100%)
lot -> 5  (4.7904%, 100%)
problem -> 5  (4.7904%, 100%)
stainless -> 5  (4.7904%, 100%)
top -> 5  (4.7904%, 100%)
using -> microwave  (4.7904%, 86.4865%)
109226352,microwave -> 5  (4.7904%, 100%)
controls -> 5  (4.6407%, 100%)
months -> 5  (4.6407%, 100%)
purchased -> 5  (4.6407%, 100%)
replace -> 5  (4.6407%, 100%)
popcorn -> microwave  (4.6407%, 93.9394%)
put -> 5  (4.491%, 100%)
reviews -> 5  (4.491%, 100%)
turntable -> 5  (4.491%, 100%)
found -> microwave  (4.491%, 88.2353%)
