Rule   (Support, Confidence) 
microwave -> 1  (68.7345%, 100%)
buy -> 1  (34.7395%, 100%)
months -> 1  (27.0471%, 100%)
product -> 1  (27.0471%, 100%)
service -> 1  (26.3027%, 100%)
new -> 1  (25.062%, 100%)
bought -> 1  (24.0695%, 100%)
warranty -> 1  (23.0769%, 100%)
working -> 1  (21.0918%, 100%)
year -> 1  (20.3474%, 100%)
time -> 1  (19.603%, 100%)
door -> 1  (19.1067%, 100%)
repair -> 1  (19.1067%, 100%)
unit -> 1  (19.1067%, 100%)
br -> 1  (18.3623%, 100%)
like -> 1  (18.1141%, 100%)
dont -> 1  (17.3697%, 100%)
ge -> 1  (17.1216%, 100%)
more -> 1  (16.8734%, 100%)
br -> microwave  (16.8734%, 91.8919%)
same -> 1  (16.3772%, 100%)
problem -> 1  (15.6328%, 100%)
customer -> 1  (15.1365%, 100%)
reviews -> 1  (14.6402%, 100%)
its -> 1  (14.3921%, 100%)
there -> 1  (14.3921%, 100%)
544821753 -> 1  (14.1439%, 100%)
purchased -> 1  (14.1439%, 100%)
samsung -> 1  (13.8958%, 100%)
two -> 1  (13.8958%, 100%)
work -> 1  (13.8958%, 100%)
replace -> 1  (13.3995%, 100%)
worked -> 1  (13.3995%, 100%)
appliance -> 1  (12.6551%, 100%)
replaced -> 1  (12.6551%, 100%)
stopped -> 1  (12.6551%, 100%)
423421857 -> 1  (12.4069%, 100%)
died -> 1  (12.1588%, 100%)
heat -> 1  (12.1588%, 100%)
model -> 1  (12.1588%, 100%)
said -> 1  (12.1588%, 100%)
brand -> 1  (11.6625%, 100%)
oven -> 1  (11.4144%, 100%)
purchase -> 1  (11.4144%, 100%)
told -> 1  (11.4144%, 100%)
whirlpool -> 1  (11.4144%, 100%)
i -> 1  (11.1663%, 100%)
cost -> 1  (10.9181%, 100%)
kitchen -> 1  (10.67%, 100%)
replacement -> 1  (10.67%, 100%)
called -> 1  (10.4218%, 100%)
food -> 1  (10.4218%, 100%)
good -> 1  (10.4218%, 100%)
money -> 1  (10.4218%, 100%)
bad -> 1  (10.1737%, 100%)
im -> 1  (10.1737%, 100%)
appliance -> microwave  (10.1737%, 80.3922%)
away -> 1  (9.9256%, 100%)
installed -> 1  (9.9256%, 100%)
broke -> 1  (9.6774%, 100%)
didnt -> 1  (9.6774%, 100%)
problems -> 1  (9.6774%, 100%)
quality -> 1  (9.6774%, 100%)
weeks -> 1  (9.6774%, 100%)
came -> 1  (9.4293%, 100%)
longer -> 1  (9.1811%, 100%)
week -> 1  (9.1811%, 100%)
got -> 1  (8.933%, 100%)
lasted -> 1  (8.933%, 100%)
part -> 1  (8.933%, 100%)
recommend -> 1  (8.933%, 100%)
buying -> 1  (8.6849%, 100%)
doesnt -> 1  (8.6849%, 100%)
top -> 1  (8.6849%, 100%)
appliances -> 1  (8.4367%, 100%)
come -> 1  (8.4367%, 100%)
great -> 1  (8.4367%, 100%)
