Rule   (Support, Confidence) 
baby -> 1  (23.9094%, 100%)
not -> 1  (23.4899%, 100%)
like -> 1  (19.0436%, 100%)
product -> 1  (18.3725%, 100%)
star -> 1  (13.0872%, 100%)
pacifier -> 1  (12.8356%, 100%)
buy -> 1  (12.7517%, 100%)
money -> 1  (12.1644%, 100%)
its -> 1  (11.6611%, 100%)
bought -> 1  (11.3255%, 100%)
time -> 1  (11.2416%, 100%)
old -> 1  (10.6544%, 100%)
pacifiers -> 1  (9.9832%, 100%)
more -> 1  (9.8993%, 100%)
disappointed -> 1  (9.4799%, 100%)
son -> 1  (9.4799%, 100%)
months -> 1  (8.9765%, 100%)
doesnt -> 1  (8.7248%, 100%)
work -> 1  (8.6409%, 100%)
got -> 1  (8.557%, 100%)
there -> 1  (8.4732%, 100%)
good -> 1  (8.3054%, 100%)
put -> 1  (8.3054%, 100%)
way -> 1  (8.3054%, 100%)
mouth -> 1  (8.1376%, 100%)
waste -> 1  (7.6342%, 100%)
month -> 1  (7.5503%, 100%)
quality -> 1  (7.4664%, 100%)
daughter -> 1  (7.2987%, 100%)
great -> 1  (7.2987%, 100%)
item -> 1  (7.2987%, 100%)
same -> 1  (7.2987%, 100%)
used -> 1  (7.2148%, 100%)
br -> 1  (6.7953%, 100%)
cant -> 1  (6.7953%, 100%)
two -> 1  (6.7953%, 100%)
better -> 1  (6.7114%, 100%)
thing -> 1  (6.7114%, 100%)
baby,not -> 1  (6.7114%, 100%)
received -> 1  (6.6275%, 100%)
waste -> money  (6.6275%, 86.8132%)
baby,like -> 1  (6.6275%, 100%)
thought -> 1  (6.5436%, 100%)
made -> 1  (6.4597%, 100%)
im -> 1  (6.3758%, 100%)
reviews -> 1  (6.2919%, 100%)
ordered -> 1  (6.0403%, 100%)
take -> 1  (6.0403%, 100%)
return -> 1  (5.8725%, 100%)
child -> 1  (5.7886%, 100%)
right -> 1  (5.7886%, 100%)
came -> 1  (5.7047%, 100%)
going -> 1  (5.5369%, 100%)
recommend -> 1  (5.5369%, 100%)
using -> 1  (5.453%, 100%)
baby,product -> 1  (5.453%, 100%)
big -> 1  (5.3691%, 100%)
see -> 1  (5.3691%, 100%)
buy,not -> 1  (5.2013%, 100%)
plastic -> 1  (5.1174%, 100%)
nipple -> 1  (5.0336%, 100%)
babies -> 1  (4.9497%, 100%)
purchased -> 1  (4.9497%, 100%)
away -> 1  (4.8658%, 100%)
different -> 1  (4.7819%, 100%)
go -> 1  (4.7819%, 100%)
make -> 1  (4.7819%, 100%)
small -> 1  (4.7819%, 100%)
baby,pacifier -> 1  (4.698%, 100%)
ones -> 1  (4.6141%, 100%)
tried -> 1  (4.6141%, 100%)
fit -> 1  (4.3624%, 100%)
give -> 1  (4.3624%, 100%)
worth -> 1  (4.3624%, 100%)
love -> 1  (4.2785%, 100%)
wanted -> 1  (4.2785%, 100%)
keep -> 1  (4.1946%, 100%)
know -> 1  (4.1946%, 100%)
getting -> 1  (4.1107%, 100%)
hold -> 1  (4.1107%, 100%)
open -> 1  (4.1107%, 100%)
cheap -> 1  (4.0268%, 100%)
part -> 1  (4.0268%, 100%)
picture -> 1  (4.0268%, 100%)
pink -> 1  (4.0268%, 100%)
purchase -> 1  (4.0268%, 100%)
day -> 1  (3.943%, 100%)
babys -> 1  (3.8591%, 100%)
box -> 1  (3.8591%, 100%)
sure -> 1  (3.8591%, 100%)
think -> 1  (3.8591%, 100%)
took -> 1  (3.8591%, 100%)
wont -> 1  (3.8591%, 100%)
enough -> 1  (3.7752%, 100%)
monitor -> 1  (3.7752%, 100%)
poor -> 1  (3.6913%, 100%)
seat -> 1  (3.6913%, 100%)
wish -> 1  (3.6913%, 100%)
bad -> 1  (3.6074%, 100%)
broke -> 1  (3.6074%, 100%)
i -> 1  (3.6074%, 100%)
price -> 1  (3.6074%, 100%)
say -> 1  (3.6074%, 100%)
comes -> 1  (3.5235%, 100%)
design -> 1  (3.5235%, 100%)
trying -> 1  (3.5235%, 100%)
baby,months -> 1  (3.5235%, 100%)
cute -> 1  (3.4396%, 100%)
stay -> 1  (3.4396%, 100%)
try -> 1  (3.4396%, 100%)
week -> 1  (3.4396%, 100%)
buy,product -> 1  (3.4396%, 100%)
amazon -> 1  (3.3557%, 100%)
brand -> 1  (3.3557%, 100%)
looking -> 1  (3.3557%, 100%)
size -> 1  (3.3557%, 100%)
wouldnt -> 1  (3.3557%, 100%)
baby,buy -> 1  (3.3557%, 100%)
baby,more -> 1  (3.3557%, 100%)
arrived -> 1  (3.2718%, 100%)
color -> 1  (3.2718%, 100%)
new -> 1  (3.2718%, 100%)
sent -> 1  (3.2718%, 100%)
started -> 1  (3.2718%, 100%)
wrong -> 1  (3.2718%, 100%)
baby,old -> 1  (3.2718%, 100%)
baby,pacifiers -> 1  (3.2718%, 100%)
being -> 1  (3.1879%, 100%)
horrible -> 1  (3.1879%, 100%)
set -> 1  (3.1879%, 100%)
baby,bought -> 1  (3.1879%, 100%)
baby,its -> 1  (3.1879%, 100%)
baby,mouth -> 1  (3.1879%, 100%)
bought,not -> 1  (3.1879%, 100%)
couldnt -> 1  (3.104%, 100%)
returned -> 1  (3.104%, 100%)
bought,like -> 1  (3.104%, 100%)
bottle -> 1  (3.0201%, 100%)
help -> 1  (3.0201%, 100%)
makes -> 1  (3.0201%, 100%)
baby,there -> 1  (3.0201%, 100%)
blue -> 1  (2.9362%, 100%)
boy -> 1  (2.9362%, 100%)
colors -> 1  (2.9362%, 100%)
come -> 1  (2.9362%, 100%)
looked -> 1  (2.9362%, 100%)
read -> 1  (2.9362%, 100%)
terrible -> 1  (2.9362%, 100%)
weeks -> 1  (2.9362%, 100%)
apart -> 1  (2.8523%, 100%)
company -> 1  (2.8523%, 100%)
found -> 1  (2.8523%, 100%)
package -> 1  (2.8523%, 100%)
useless -> 1  (2.8523%, 100%)
year -> 1  (2.8523%, 100%)
baby,good -> 1  (2.8523%, 100%)
baby,money -> 1  (2.8523%, 100%)
baby,time -> 1  (2.8523%, 100%)
bottom -> 1  (2.7685%, 100%)
completely -> 1  (2.7685%, 100%)
ive -> 1  (2.7685%, 100%)
material -> 1  (2.7685%, 100%)
baby,way -> 1  (2.7685%, 100%)
bag -> 1  (2.6846%, 100%)
buying -> 1  (2.6846%, 100%)
having -> 1  (2.6846%, 100%)
loved -> 1  (2.6846%, 100%)
piece -> 1  (2.6846%, 100%)
unfortunately -> 1  (2.6846%, 100%)
wash -> 1  (2.6846%, 100%)
baby,put -> 1  (2.6846%, 100%)
bought,product -> 1  (2.6846%, 100%)
buy,time -> 1  (2.6846%, 100%)
idea -> 1  (2.6007%, 100%)
isnt -> 1  (2.6007%, 100%)
newborn -> 1  (2.6007%, 100%)
nice -> 1  (2.6007%, 100%)
safe -> 1  (2.6007%, 100%)
seem -> 1  (2.6007%, 100%)
baby,cant -> 1  (2.6007%, 100%)
baby,nipple -> 1  (2.6007%, 100%)
baby,work -> 1  (2.6007%, 100%)
246038397 -> 1  (2.5168%, 100%)
bit -> 1  (2.5168%, 100%)
cannot -> 1  (2.5168%, 100%)
liked -> 1  (2.5168%, 100%)
opened -> 1  (2.5168%, 100%)
pay -> 1  (2.5168%, 100%)
place -> 1  (2.5168%, 100%)
save -> 1  (2.5168%, 100%)
top -> 1  (2.5168%, 100%)
water -> 1  (2.5168%, 100%)
working -> 1  (2.5168%, 100%)
baby,going -> 1  (2.5168%, 100%)
baby,take -> 1  (2.5168%, 100%)
bottles -> 1  (2.4329%, 100%)
making -> 1  (2.4329%, 100%)
paci -> 1  (2.4329%, 100%)
times -> 1  (2.4329%, 100%)
together -> 1  (2.4329%, 100%)
toy -> 1  (2.4329%, 100%)
baby,using -> 1  (2.4329%, 100%)
clean -> 1  (2.349%, 100%)
long -> 1  (2.349%, 100%)
