Rule   (Support, Confidence) 
like -> 2  (26.6385%, 100%)
baby -> 2  (26.3214%, 100%)
not -> 2  (24.3129%, 100%)
two -> 2  (18.6047%, 100%)
pacifier -> 2  (17.1247%, 100%)
its -> 2  (15.222%, 100%)
good -> 2  (14.9049%, 100%)
great -> 2  (13.6364%, 100%)
doesnt -> 2  (13.0021%, 100%)
bought -> 2  (12.8964%, 100%)
son -> 2  (12.8964%, 100%)
product -> 2  (12.3679%, 100%)
pacifiers -> 2  (11.8393%, 100%)
more -> 2  (11.5222%, 100%)
time -> 2  (11.2051%, 100%)
there -> 2  (11.0994%, 100%)
work -> 2  (10.8879%, 100%)
months -> 2  (10.6765%, 100%)
better -> 2  (10.4651%, 100%)
baby,like -> 2  (10.0423%, 100%)
got -> 2  (9.8309%, 100%)
cute -> 2  (9.6195%, 100%)
mouth -> 2  (9.6195%, 100%)
buy -> 2  (9.3023%, 100%)
old -> 2  (9.1966%, 100%)
way -> 2  (9.1966%, 98.8636%)
used -> 2  (8.6681%, 100%)
thought -> 2  (8.5624%, 100%)
baby,not -> 2  (8.5624%, 100%)
small -> 2  (8.351%, 100%)
disappointed -> 2  (8.1395%, 100%)
br -> 2  (7.8224%, 100%)
daughter -> 2  (7.8224%, 100%)
im -> 2  (7.611%, 100%)
take -> 2  (7.611%, 100%)
keep -> 2  (7.5053%, 100%)
quality -> 2  (7.5053%, 100%)
made -> 2  (7.2939%, 100%)
put -> 2  (7.1882%, 100%)
using -> 2  (7.1882%, 100%)
think -> 2  (6.5539%, 100%)
enough -> 2  (6.3425%, 100%)
babies -> 2  (6.1311%, 100%)
cant -> 2  (6.1311%, 100%)
money -> 2  (6.1311%, 100%)
received -> 2  (6.1311%, 100%)
size -> 2  (6.1311%, 100%)
month -> 2  (6.0254%, 100%)
ones -> 2  (6.0254%, 100%)
thing -> 2  (6.0254%, 100%)
big -> 2  (5.9197%, 98.2456%)
baby,pacifier -> 2  (5.9197%, 100%)
different -> 2  (5.7082%, 100%)
love -> 2  (5.6025%, 100%)
go -> 2  (5.3911%, 100%)
wouldnt -> 2  (5.3911%, 100%)
came -> 2  (5.2854%, 100%)
tried -> 2  (5.2854%, 100%)
idea -> 2  (5.1797%, 100%)
nice -> 2  (5.1797%, 100%)
easy -> 2  (5.074%, 100%)
fit -> 2  (5.074%, 100%)
long -> 2  (5.074%, 100%)
stay -> 2  (5.074%, 100%)
sure -> 2  (5.074%, 100%)
baby,good -> 2  (5.074%, 100%)
same -> 2  (4.9683%, 100%)
bag -> 2  (4.8626%, 100%)
hold -> 2  (4.8626%, 100%)
nipple -> 2  (4.8626%, 100%)
price -> 2  (4.8626%, 100%)
baby,its -> 2  (4.8626%, 100%)
child -> 2  (4.7569%, 100%)
make -> 2  (4.7569%, 100%)
plastic -> 2  (4.7569%, 100%)
right -> 2  (4.7569%, 100%)
bought,like -> 2  (4.7569%, 100%)
design -> 2  (4.6512%, 100%)
give -> 2  (4.5455%, 100%)
going -> 2  (4.5455%, 100%)
purchased -> 2  (4.5455%, 100%)
brand -> 2  (4.4397%, 100%)
lot -> 2  (4.4397%, 100%)
new -> 2  (4.4397%, 100%)
ordered -> 2  (4.4397%, 100%)
recommend -> 2  (4.4397%, 100%)
baby,bought -> 2  (4.4397%, 100%)
fine -> 2  (4.334%, 100%)
item -> 2  (4.334%, 100%)
problem -> 2  (4.334%, 100%)
baby,doesnt -> 2  (4.334%, 100%)
looking -> 2  (4.2283%, 100%)
worth -> 2  (4.2283%, 100%)
baby,months -> 2  (4.2283%, 100%)
baby,two -> 2  (4.2283%, 100%)
times -> 2  (4.1226%, 100%)
baby,mouth -> 2  (4.1226%, 100%)
bought,not -> 2  (4.1226%, 100%)
getting -> 2  (4.0169%, 100%)
see -> 2  (4.0169%, 100%)
difficult -> 2  (3.9112%, 100%)
seems -> 2  (3.9112%, 100%)
wont -> 2  (3.9112%, 100%)
baby,pacifiers -> 2  (3.9112%, 100%)
baby,time -> 2  (3.9112%, 100%)
cheap -> 2  (3.8055%, 100%)
color -> 2  (3.8055%, 100%)
come -> 2  (3.8055%, 100%)
night -> 2  (3.8055%, 100%)
part -> 2  (3.8055%, 100%)
poor -> 2  (3.8055%, 100%)
say -> 2  (3.8055%, 100%)
seat -> 2  (3.8055%, 100%)
baby,old -> 2  (3.8055%, 100%)
baby,there -> 2  (3.8055%, 100%)
day -> 2  (3.6998%, 100%)
paci -> 2  (3.6998%, 100%)
picture -> 2  (3.6998%, 100%)
return -> 2  (3.6998%, 100%)
said -> 2  (3.6998%, 100%)
seem -> 2  (3.6998%, 100%)
baby,more -> 2  (3.6998%, 100%)
colors -> 2  (3.5941%, 100%)
diaper -> 2  (3.5941%, 100%)
try -> 2  (3.5941%, 100%)
wanted -> 2  (3.5941%, 100%)
weeks -> 2  (3.5941%, 100%)
i -> 2  (3.4884%, 100%)
ok -> 2  (3.4884%, 100%)
open -> 2  (3.4884%, 100%)
started -> 2  (3.4884%, 100%)
wish -> 2  (3.4884%, 100%)
bit -> 2  (3.3827%, 100%)
fall -> 2  (3.3827%, 100%)
loved -> 2  (3.3827%, 100%)
makes -> 2  (3.3827%, 100%)
maybe -> 2  (3.3827%, 100%)
place -> 2  (3.3827%, 100%)
worked -> 2  (3.3827%, 100%)
baby,great -> 2  (3.3827%, 100%)
baby,im -> 2  (3.3827%, 100%)
clean -> 2  (3.277%, 100%)
gave -> 2  (3.277%, 100%)
gets -> 2  (3.277%, 100%)
pink -> 2  (3.277%, 100%)
soft -> 2  (3.277%, 100%)
wasnt -> 2  (3.277%, 100%)
being -> 2  (3.1712%, 100%)
car -> 2  (3.1712%, 100%)
ive -> 2  (3.1712%, 100%)
purchase -> 2  (3.1712%, 100%)
reviews -> 2  (3.1712%, 100%)
side -> 2  (3.1712%, 100%)
thats -> 2  (3.1712%, 100%)
baby,got -> 2  (3.1712%, 100%)
better,not -> 2  (3.1712%, 100%)
246038397 -> 2  (3.0655%, 100%)
soothie -> 2  (3.0655%, 100%)
top -> 2  (3.0655%, 100%)
bought,more -> 2  (3.0655%, 100%)
away -> 2  (2.9598%, 100%)
