Rule   (Support, Confidence) 
dryer -> 2  (56.25%, 100%)
hair -> 2  (50.1563%, 100%)
hair -> dryer  (41.4063%, 82.5545%)
months -> 2  (21.0938%, 100%)
like -> 2  (20.9375%, 100%)
two -> 2  (18.125%, 100%)
dry -> 2  (17.8125%, 100%)
hot -> 2  (17.5%, 100%)
product -> 2  (16.4063%, 100%)
dry -> hair  (16.4063%, 92.1053%)
great -> 2  (16.25%, 100%)
good -> 2  (16.0938%, 100%)
its -> 2  (15.4688%, 100%)
dont -> 2  (15.1562%, 100%)
bought -> 2  (14.8438%, 100%)
didnt -> 2  (13.9063%, 100%)
time -> 2  (13.75%, 100%)
air -> 2  (13.4375%, 100%)
blow -> 2  (12.9688%, 100%)
long -> 2  (12.8125%, 100%)
more -> 2  (12.6563%, 100%)
worked -> 2  (12.3438%, 100%)
used -> 2  (12.1875%, 100%)
cord -> 2  (12.0313%, 100%)
heat -> 2  (11.7188%, 100%)
better -> 2  (11.4063%, 100%)
using -> 2  (11.25%, 100%)
work -> 2  (11.25%, 100%)
working -> 2  (10.9375%, 100%)
blow -> dryer  (10.7813%, 83.1325%)
buy -> 2  (10.4688%, 100%)
enough -> 2  (10.3125%, 100%)
high -> 2  (10.3125%, 100%)
way -> 2  (10.3125%, 100%)
doesnt -> 2  (10.1563%, 100%)
fine -> 2  (10.1563%, 100%)
im -> 2  (10.1563%, 100%)
year -> 2  (10%, 100%)
drying -> 2  (9.6875%, 100%)
br -> 2  (9.5313%, 100%)
stopped -> 2  (9.5313%, 100%)
air,dryer -> 2  (9.5313%, 100%)
conair -> 2  (9.0625%, 100%)
disappointed -> 2  (9.0625%, 100%)
setting -> 2  (9.0625%, 100%)
purchased -> 2  (8.75%, 100%)
dryers -> 2  (8.5938%, 100%)
ive -> 2  (8.5938%, 100%)
power -> 2  (8.5938%, 100%)
recommend -> 2  (8.5938%, 100%)
drying -> hair  (8.5938%, 88.7097%)
got -> 2  (8.4375%, 100%)
there -> 2  (8.4375%, 100%)
drying -> dryer  (8.4375%, 87.0968%)
im -> dryer  (8.4375%, 83.0769%)
old -> 2  (8.125%, 100%)
lasted -> 2  (7.8125%, 100%)
br -> dryer  (7.8125%, 81.9672%)
longer -> 2  (7.6563%, 100%)
hairdryer -> 2  (7.5%, 100%)
new -> 2  (7.3438%, 100%)
purchased -> dryer  (7.3438%, 83.9286%)
heavy -> 2  (7.1875%, 100%)
same -> 2  (7.0313%, 100%)
low -> 2  (6.875%, 100%)
