Rule   (Support, Confidence) 
dryer -> 5  (55.3318%, 100%)
hair -> 5  (55.123%, 100%)
great -> 5  (37.9866%, 100%)
love -> 5  (27.6957%, 100%)
good -> 5  (17.569%, 100%)
product -> 5  (17.0619%, 100%)
like -> 5  (15.8986%, 100%)
its -> 5  (15.1678%, 100%)
time -> 5  (13.8702%, 100%)
dry -> 5  (13.4228%, 100%)
dry -> hair  (12.6324%, 94.1111%)
blow -> 5  (12.4832%, 100%)
used -> 5  (12.3937%, 100%)
price -> 5  (11.9761%, 100%)
best -> 5  (11.6182%, 100%)
dries -> 5  (11.6182%, 100%)
bought -> 5  (10.8874%, 100%)
blow -> dryer  (10.8874%, 87.2162%)
blow -> 5,dryer  (10.8874%, 87.2162%)
5,blow -> dryer  (10.8874%, 87.2162%)
blow,dryer -> 5  (10.8874%, 100%)
dries -> hair  (10.8427%, 93.3248%)
long -> 5  (10.1864%, 100%)
recommend -> 5  (10.0522%, 100%)
dryers -> 5  (9.8136%, 100%)
heat -> 5  (9.4407%, 100%)
more -> 5  (9.3811%, 100%)
powerful -> 5  (9.0529%, 100%)
cord -> 5  (8.9038%, 100%)
nice -> 5  (8.874%, 100%)
long -> hair  (8.7547%, 85.9444%)
easy -> 5  (8.7248%, 100%)
best,dryer -> 5  (8.6503%, 100%)
blow,hair -> 5  (8.6204%, 100%)
dryers -> hair  (8.516%, 86.7781%)
ive -> 5  (8.4265%, 100%)
fast -> 5  (8.2327%, 100%)
drying -> 5  (8.173%, 100%)
best,hair -> 5  (8.1283%, 100%)
light -> 5  (7.9642%, 100%)
hairdryer -> 5  (7.9195%, 100%)
quickly -> 5  (7.6659%, 100%)
dont -> 5  (7.5466%, 100%)
buy -> 5  (7.5019%, 100%)
using -> 5  (7.487%, 100%)
hot -> 5  (7.4422%, 100%)
power -> 5  (7.4422%, 100%)
old -> 5  (7.4124%, 100%)
bought,dryer -> 5  (7.3676%, 100%)
perfect -> 5  (7.3378%, 100%)
im -> 5  (7.0544%, 100%)
drying -> hair  (7.0097%, 85.7664%)
air -> 5  (6.8755%, 100%)
quickly -> hair  (6.8606%, 89.4942%)
thick -> 5  (6.7711%, 100%)
thick -> hair  (6.6667%, 98.4581%)
settings -> 5  (6.4877%, 100%)
old -> dryer  (5.9508%, 80.2817%)
happy -> 5  (5.9359%, 100%)
travel -> 5  (5.921%, 100%)
small -> 5  (5.906%, 100%)
excellent -> 5  (5.6823%, 100%)
thick -> dryer  (5.5779%, 82.3789%)
air -> hair  (5.5481%, 80.6941%)
air -> 5,hair  (5.5481%, 80.6941%)
5,air -> hair  (5.5481%, 80.6941%)
air,hair -> 5  (5.5481%, 100%)
better -> 5  (5.4884%, 100%)
got -> 5  (5.399%, 100%)
732252283 -> 5  (5.2946%, 100%)
job -> 5  (5.2647%, 100%)
settings -> hair  (5.2647%, 81.1494%)
br -> 5  (5.2051%, 100%)
air,dryer -> 5  (5.1752%, 100%)
quiet -> 5  (5.1007%, 100%)
highly -> 5  (5.0261%, 100%)
doesnt -> 5  (4.9963%, 100%)
blow,great -> 5  (4.9515%, 100%)
47684938 -> 5  (4.9366%, 100%)
purchased -> 5  (4.9366%, 100%)
quality -> 5  (4.9366%, 100%)
high -> 5  (4.9217%, 100%)
worth -> 5  (4.877%, 100%)
new -> 5  (4.8471%, 100%)
758099411 -> 5  (4.8173%, 100%)
blow,love -> 5  (4.8173%, 100%)
looking -> 5  (4.8024%, 100%)
weight -> 5  (4.7427%, 100%)
two -> 5  (4.6383%, 100%)
conair -> 5  (4.5936%, 100%)
minutes -> 5  (4.5787%, 100%)
setting -> 5  (4.5488%, 100%)
far -> 5  (4.519%, 100%)
lot -> 5  (4.4444%, 100%)
purchase -> 5  (4.4146%, 100%)
makes -> 5  (4.3997%, 100%)
cool -> 5  (4.3848%, 100%)
br -> hair  (4.3848%, 84.2407%)
minutes -> hair  (4.34%, 94.7883%)
heavy -> 5  (4.3251%, 100%)
there -> 5  (4.3251%, 100%)
size -> 5  (4.2804%, 100%)
way -> 5  (4.2655%, 100%)
handle -> 5  (4.1312%, 100%)
doesnt -> hair  (4.1312%, 82.6866%)
better,hair -> 5  (4.1163%, 100%)
compact -> 5  (4.0865%, 100%)
gets -> 5  (4.0865%, 100%)
wife -> 5  (4.0716%, 100%)
enough -> 5  (4.0567%, 100%)
better,dryer -> 5  (4.0567%, 100%)
awesome -> 5  (4.0119%, 100%)
home -> 5  (3.997%, 100%)
wall -> 5  (3.9821%, 100%)
high -> hair  (3.9523%, 80.303%)
make -> 5  (3.9075%, 100%)
i -> 5  (3.7882%, 100%)
low -> 5  (3.7882%, 100%)
minutes -> dryer  (3.7882%, 82.7362%)
same -> 5  (3.7733%, 100%)
bathroom -> 5  (3.7584%, 100%)
makes -> hair  (3.7584%, 85.4237%)
lightweight -> 5  (3.7435%, 100%)
right -> 5  (3.7435%, 100%)
super -> 5  (3.6838%, 100%)
cool -> hair  (3.6689%, 83.6735%)
setting -> hair  (3.6689%, 80.6557%)
blow,dry -> 5  (3.6391%, 100%)
amazon -> 5  (3.5496%, 100%)
thing -> 5  (3.5496%, 100%)
235105995 -> 5  (3.5198%, 100%)
didnt -> 5  (3.5198%, 100%)
found -> 5  (3.5198%, 100%)
takes -> 5  (3.5198%, 100%)
fine -> 5  (3.5048%, 100%)
amazing -> 5  (3.4899%, 100%)
work -> 5  (3.4899%, 100%)
take -> 5  (3.475%, 100%)
best,love -> 5  (3.4601%, 100%)
694290590 -> 5  (3.4154%, 100%)
go -> 5  (3.3855%, 100%)
retractable -> 5  (3.3706%, 100%)
owned -> 5  (3.3408%, 100%)
speed -> 5  (3.311%, 100%)
button -> 5  (3.2811%, 100%)
cant -> 5  (3.2811%, 100%)
money -> 5  (3.2811%, 100%)
curly -> 5  (3.2364%, 100%)
day -> 5  (3.2364%, 100%)
732252283,dryer -> 5  (3.2364%, 100%)
make -> hair  (3.2215%, 82.4427%)
reviews -> 5  (3.2066%, 100%)
think -> 5  (3.2066%, 100%)
wanted -> 5  (3.2066%, 100%)
curly -> hair  (3.2066%, 99.0783%)
i -> hair  (3.2066%, 84.6457%)
loves -> 5  (3.1916%, 100%)
takes -> hair  (3.1916%, 90.678%)
best,great -> 5  (3.1916%, 100%)
732252283,hair -> 5  (3.1767%, 100%)
hotel -> 5  (3.1618%, 100%)
say -> 5  (3.1618%, 100%)
retractable -> cord  (3.1469%, 93.3628%)
year -> 5  (3.1171%, 100%)
low -> hair  (3.1022%, 81.8898%)
frizz -> 5  (3.0872%, 100%)
strong -> 5  (3.0276%, 100%)
47684938,dryer -> 5  (3.0276%, 100%)
486774008 -> 5  (3.0127%, 100%)
blow,its -> 5  (3.0127%, 100%)
color -> 5  (2.9978%, 100%)
faster -> 5  (2.9679%, 100%)
takes -> dryer  (2.953%, 83.8983%)
air,great -> 5  (2.953%, 100%)
bit -> 5  (2.9381%, 100%)
feel -> 5  (2.9381%, 100%)
frizz -> hair  (2.9232%, 94.686%)
diffuser -> 5  (2.9083%, 100%)
didnt -> hair  (2.8934%, 82.2034%)
47684938,hair -> 5  (2.8934%, 100%)
best,used -> 5  (2.8934%, 100%)
blow,like -> 5  (2.8934%, 100%)
professional -> 5  (2.8784%, 100%)
loved -> 5  (2.8635%, 100%)
758099411,hair -> 5  (2.8486%, 100%)
button -> hair  (2.789%, 85%)
blow,time -> 5  (2.789%, 100%)
made -> 5  (2.774%, 100%)
ordered -> 5  (2.7591%, 100%)
faster -> hair  (2.7591%, 92.9648%)
needed -> 5  (2.7442%, 100%)
smooth -> 5  (2.7442%, 100%)
comes -> 5  (2.7293%, 100%)
attachments -> 5  (2.7144%, 100%)
came -> 5  (2.6846%, 100%)
owned -> dryer  (2.6846%, 80.3571%)
speed -> hair  (2.6846%, 81.0811%)
model -> 5  (2.6696%, 100%)
amazing,hair -> 5  (2.6696%, 100%)
awesome,hair -> 5  (2.6696%, 100%)
best,ive -> 5  (2.6696%, 100%)
big -> 5  (2.6547%, 100%)
different -> 5  (2.6547%, 100%)
expensive -> 5  (2.6249%, 100%)
hold -> 5  (2.6249%, 100%)
months -> 5  (2.6249%, 100%)
daughter -> 5  (2.61%, 100%)
know -> 5  (2.61%, 100%)
soft -> 5  (2.61%, 100%)
worked -> 5  (2.61%, 100%)
curly -> dryer  (2.61%, 80.6452%)
say -> hair  (2.5951%, 82.0755%)
best,time -> 5  (2.5951%, 100%)
style -> 5  (2.5802%, 100%)
exactly -> 5  (2.5652%, 100%)
smooth -> hair  (2.5652%, 93.4783%)
758099411,dryer -> 5  (2.5652%, 100%)
awesome,dryer -> 5  (2.5652%, 100%)
amazing,dryer -> 5  (2.5205%, 100%)
salon -> 5  (2.5056%, 100%)
frizz -> dryer  (2.5056%, 81.1594%)
best,blow -> 5  (2.5056%, 100%)
197856712 -> 5  (2.4907%, 100%)
dried -> 5  (2.4907%, 100%)
frizzy -> 5  (2.4907%, 100%)
diffuser -> hair  (2.4907%, 85.641%)
frizzy -> hair  (2.4907%, 100%)
bathroom,dryer -> 5  (2.4907%, 100%)
amazon,dryer -> 5  (2.4758%, 100%)
going -> 5  (2.4609%, 100%)
keep -> 5  (2.4609%, 100%)
straight -> 5  (2.4609%, 100%)
blow,long -> 5  (2.4459%, 100%)
47684938,dryer -> hair  (2.431%, 80.2956%)
47684938,hair -> dryer  (2.431%, 84.0206%)
air,like -> 5  (2.431%, 100%)
amazon,hair -> 5  (2.431%, 100%)
pleased -> 5  (2.4161%, 100%)
dried -> hair  (2.4161%, 97.006%)
professional -> dryer  (2.4161%, 83.9378%)
put -> 5  (2.4012%, 100%)
soft -> hair  (2.4012%, 92%)
feel -> hair  (2.3863%, 81.2183%)
straight -> hair  (2.3714%, 96.3636%)
air,dry -> 5  (2.3714%, 100%)
47684938,great -> 5  (2.3565%, 100%)
air,heat -> 5  (2.3565%, 100%)
seems -> 5  (2.3415%, 100%)
style -> hair  (2.3415%, 90.7514%)
professional -> hair  (2.3266%, 80.829%)
best,dry -> 5  (2.3266%, 100%)
longer -> 5  (2.3117%, 100%)
better,great -> 5  (2.3117%, 100%)
recommended -> 5  (2.2968%, 100%)
ionic -> 5  (2.2819%, 100%)
shiny -> 5  (2.2819%, 100%)
loud -> 5  (2.267%, 100%)
bathroom,hair -> 5  (2.267%, 100%)
blow,dryers -> 5  (2.267%, 100%)
air,love -> 5  (2.2521%, 100%)
best,dryers -> 5  (2.2521%, 100%)
glad -> 5  (2.2371%, 100%)
quick -> 5  (2.2371%, 100%)
comes -> hair  (2.2371%, 81.9672%)
shiny -> hair  (2.2371%, 98.0392%)
