Rule   (Support, Confidence) 
dryer -> 3  (53%, 100%)
hair -> 3  (52%, 100%)
its -> 3  (26.9%, 100%)
like -> 3  (23.6%, 100%)
good -> 3  (21.1%, 100%)
dry -> 3  (18.3%, 100%)
dry -> hair  (17%, 92.8962%)
more -> 3  (16.4%, 100%)
great -> 3  (16.2%, 100%)
three -> 3  (16.1%, 100%)
cord -> 3  (15.4%, 100%)
heat -> 3  (13.4%, 100%)
dont -> 3  (13.3%, 100%)
long -> 3  (13.1%, 100%)
used -> 3  (12.9%, 100%)
hot -> 3  (12.5%, 100%)
blow -> 3  (12.3%, 100%)
time -> 3  (12.3%, 100%)
doesnt -> 3  (12.2%, 100%)
product -> 3  (11.6%, 100%)
price -> 3  (11.4%, 100%)
setting -> 3  (11.1%, 100%)
heavy -> 3  (10.6%, 100%)
high -> 3  (10.5%, 100%)
im -> 3  (10.5%, 100%)
long -> hair  (10.5%, 80.1527%)
bought -> 3  (10.4%, 100%)
air -> 3  (10.3%, 100%)
blow -> dryer  (10.2%, 82.9268%)
dryers -> 3  (10.1%, 100%)
fine -> 3  (10%, 100%)
work -> 3  (9.8%, 100%)
job -> 3  (9.6%, 100%)
ok -> 3  (9.6%, 100%)
powerful -> 3  (9.6%, 100%)
using -> 3  (9.5%, 100%)
better -> 3  (9.3%, 100%)
drying -> 3  (9.3%, 100%)
nice -> 3  (8.7%, 100%)
power -> 3  (8.7%, 100%)
dryers -> hair  (8.6%, 85.1485%)
br -> 3  (8.5%, 100%)
bit -> 3  (8.3%, 100%)
didnt -> 3  (8.3%, 100%)
drying -> hair  (8.3%, 89.2473%)
air,dryer -> 3  (8.2%, 100%)
longer -> 3  (8%, 100%)
drying -> dryer  (8%, 86.0215%)
hairdryer -> 3  (7.8%, 100%)
ive -> 3  (7.7%, 100%)
low -> 3  (7.7%, 100%)
two -> 3  (7.6%, 100%)
way -> 3  (7.6%, 100%)
air,hair -> 3  (7.6%, 100%)
enough -> 3  (7.5%, 100%)
there -> 3  (7.5%, 100%)
year -> 3  (7%, 100%)
dries -> 3  (6.9%, 100%)
old -> 3  (6.9%, 100%)
speed -> 3  (6.9%, 100%)
buy -> 3  (6.8%, 100%)
months -> 3  (6.5%, 100%)
okay -> 3  (6.5%, 100%)
takes -> 3  (6.5%, 100%)
thick -> 3  (6.5%, 100%)
cool -> 3  (6.3%, 100%)
light -> 3  (6.3%, 100%)
settings -> 3  (6.3%, 100%)
expected -> 3  (6.2%, 100%)
same -> 3  (6.2%, 100%)
takes -> hair  (6.2%, 95.3846%)
thick -> hair  (6.2%, 95.3846%)
dries -> hair  (6.1%, 88.4058%)
conair -> 3  (5.9%, 100%)
purchased -> 3  (5.8%, 100%)
quickly -> 3  (5.8%, 100%)
732252283 -> 3  (5.7%, 100%)
gets -> 3  (5.7%, 100%)
retractable -> 3  (5.7%, 100%)
reviews -> 3  (5.7%, 100%)
short -> 3  (5.7%, 100%)
switch -> 3  (5.7%, 100%)
think -> 3  (5.7%, 100%)
speed -> dryer  (5.7%, 82.6087%)
486774008 -> 3  (5.6%, 100%)
looking -> 3  (5.6%, 100%)
lot -> 3  (5.6%, 100%)
worked -> 3  (5.6%, 100%)
bad -> 3  (5.5%, 100%)
thought -> 3  (5.5%, 100%)
travel -> 3  (5.5%, 100%)
retractable -> cord  (5.5%, 96.4912%)
button -> 3  (5.4%, 100%)
got -> 3  (5.4%, 100%)
love -> 3  (5.4%, 100%)
takes -> dry  (5.4%, 83.0769%)
cant -> 3  (5.3%, 100%)
handle -> 3  (5.3%, 100%)
loud -> 3  (5.3%, 100%)
47684938 -> 3  (5.2%, 100%)
feel -> 3  (5.2%, 100%)
model -> 3  (5.2%, 100%)
i -> 3  (5%, 100%)
problem -> 3  (5%, 100%)
seems -> 3  (5%, 100%)
air,like -> 3  (5%, 100%)
758099411 -> 3  (4.9%, 100%)
disappointed -> 3  (4.9%, 100%)
hold -> 3  (4.9%, 100%)
keep -> 3  (4.9%, 100%)
makes -> 3  (4.9%, 100%)
turn -> 3  (4.9%, 100%)
big -> 3  (4.8%, 100%)
make -> 3  (4.8%, 100%)
size -> 3  (4.8%, 100%)
small -> 3  (4.8%, 100%)
take -> 3  (4.8%, 100%)
diffuser -> 3  (4.7%, 100%)
made -> 3  (4.7%, 100%)
working -> 3  (4.6%, 100%)
retractable -> dryer  (4.6%, 80.7018%)
attachment -> 3  (4.5%, 100%)
cheap -> 3  (4.5%, 100%)
quiet -> 3  (4.5%, 100%)
thing -> 3  (4.5%, 100%)
weight -> 3  (4.5%, 100%)
new -> 3  (4.4%, 100%)
sure -> 3  (4.4%, 100%)
came -> 3  (4.3%, 100%)
overall -> 3  (4.3%, 100%)
purchase -> 3  (4.3%, 100%)
quality -> 3  (4.3%, 100%)
say -> 3  (4.3%, 100%)
wanted -> 3  (4.3%, 100%)
i -> hair  (4.3%, 86%)
easy -> 3  (4.2%, 100%)
i -> dryer  (4.2%, 84%)
486774008,hair -> 3  (4.2%, 100%)
different -> 3  (4.1%, 100%)
know -> 3  (4.1%, 100%)
previous -> 3  (4.1%, 100%)
wish -> 3  (4.1%, 100%)
keep -> hair  (4.1%, 83.6735%)
235105995 -> 3  (4%, 100%)
attachments -> 3  (4%, 100%)
being -> 3  (4%, 100%)
said -> 3  (4%, 100%)
486774008,dryer -> 3  (4%, 100%)
amazon -> 3  (3.9%, 100%)
lasted -> 3  (3.9%, 100%)
plastic -> 3  (3.9%, 100%)
recommend -> 3  (3.9%, 100%)
seem -> 3  (3.9%, 100%)
id -> 3  (3.8%, 100%)
486774008,cord -> 3  (3.8%, 100%)
732252283,dryer -> 3  (3.8%, 100%)
694290590 -> 3  (3.7%, 100%)
far -> 3  (3.7%, 100%)
liked -> 3  (3.7%, 100%)
strong -> 3  (3.7%, 100%)
the -> 3  (3.7%, 100%)
unit -> 3  (3.7%, 100%)
wall -> 3  (3.7%, 100%)
attachment -> hair  (3.7%, 82.2222%)
say -> hair  (3.7%, 86.0465%)
47684938,dryer -> 3  (3.7%, 100%)
died -> 3  (3.6%, 100%)
go -> 3  (3.6%, 100%)
stopped -> 3  (3.6%, 100%)
wouldnt -> 3  (3.6%, 100%)
sure -> dryer  (3.6%, 81.8182%)
air,heat -> 3  (3.6%, 100%)
air,more -> 3  (3.6%, 100%)
frizzy -> 3  (3.5%, 100%)
heavier -> 3  (3.5%, 100%)
put -> 3  (3.5%, 100%)
overall -> dryer  (3.5%, 81.3953%)
frizzy -> hair  (3.5%, 100%)
air,hot -> 3  (3.5%, 100%)
buttons -> 3  (3.4%, 100%)
day -> 3  (3.4%, 100%)
going -> 3  (3.4%, 100%)
minutes -> 3  (3.4%, 100%)
replace -> 3  (3.4%, 100%)
see -> 3  (3.4%, 100%)
air,dry -> 3  (3.4%, 100%)
head -> 3  (3.3%, 100%)
isnt -> 3  (3.3%, 100%)
right -> 3  (3.3%, 100%)
197856712 -> 3  (3.2%, 100%)
best -> 3  (3.2%, 100%)
fast -> 3  (3.2%, 100%)
feature -> 3  (3.2%, 100%)
found -> 3  (3.2%, 100%)
frizz -> 3  (3.2%, 100%)
received -> 3  (3.2%, 100%)
go -> dryer  (3.2%, 88.8889%)
the -> dryer  (3.2%, 86.4865%)
47684938,cord -> 3  (3.2%, 100%)
732252283,hair -> 3  (3.2%, 100%)
decent -> 3  (3.1%, 100%)
ill -> 3  (3.1%, 100%)
go -> hair  (3.1%, 86.1111%)
the -> hair  (3.1%, 83.7838%)
758099411,dryer -> 3  (3.1%, 100%)
air,its -> 3  (3.1%, 100%)
faster -> 3  (3%, 100%)
give -> 3  (3%, 100%)
maybe -> 3  (3%, 100%)
review -> 3  (3%, 100%)
warm -> 3  (3%, 100%)
air,blow -> 3  (3%, 100%)
air,good -> 3  (3%, 100%)
air,high -> 3  (3%, 100%)
andis -> 3  (2.9%, 100%)
difference -> 3  (2.9%, 100%)
fit -> 3  (2.9%, 100%)
getting -> 3  (2.9%, 100%)
guess -> 3  (2.9%, 100%)
reason -> 3  (2.9%, 100%)
thats -> 3  (2.9%, 100%)
times -> 3  (2.9%, 100%)
died -> dryer  (2.9%, 80.5556%)
dried -> 3  (2.8%, 100%)
least -> 3  (2.8%, 100%)
try -> 3  (2.8%, 100%)
feature -> dryer  (2.8%, 87.5%)
replace -> dryer  (2.8%, 82.3529%)
faster -> hair  (2.8%, 93.3333%)
minutes -> hair  (2.8%, 82.3529%)
47684938,hair -> 3  (2.8%, 100%)
away -> 3  (2.7%, 100%)
comes -> 3  (2.7%, 100%)
especially -> 3  (2.7%, 100%)
feels -> 3  (2.7%, 100%)
length -> 3  (2.7%, 100%)
medium -> 3  (2.7%, 100%)
shot -> 3  (2.7%, 100%)
started -> 3  (2.7%, 100%)
super -> 3  (2.7%, 100%)
wasnt -> 3  (2.7%, 100%)
worth -> 3  (2.7%, 100%)
best -> dryer  (2.7%, 84.375%)
dried -> hair  (2.7%, 96.4286%)
air,doesnt -> 3  (2.7%, 100%)
127343313 -> 3  (2.6%, 100%)
box -> 3  (2.6%, 100%)
color -> 3  (2.6%, 100%)
compact -> 3  (2.6%, 100%)
expensive -> 3  (2.6%, 100%)
gave -> 3  (2.6%, 100%)
having -> 3  (2.6%, 100%)
ionic -> 3  (2.6%, 100%)
money -> 3  (2.6%, 100%)
motor -> 3  (2.6%, 100%)
fast -> hair  (2.6%, 81.25%)
frizz -> hair  (2.6%, 81.25%)
air,dont -> 3  (2.6%, 100%)
air,dryers -> 3  (2.6%, 100%)
685652978 -> 3  (2.5%, 100%)
brand -> 3  (2.5%, 100%)
broke -> 3  (2.5%, 100%)
design -> 3  (2.5%, 100%)
expect -> 3  (2.5%, 100%)
hoping -> 3  (2.5%, 100%)
item -> 3  (2.5%, 100%)
loved -> 3  (2.5%, 100%)
noisy -> 3  (2.5%, 100%)
smaller -> 3  (2.5%, 100%)
wont -> 3  (2.5%, 100%)
andis -> dryer  (2.5%, 86.2069%)
difference -> hair  (2.5%, 86.2069%)
ionic -> dryer  (2.5%, 96.1538%)
length -> hair  (2.5%, 92.5926%)
758099411,hair -> 3  (2.5%, 100%)
ceramic -> 3  (2.4%, 100%)
cold -> 3  (2.4%, 100%)
difficult -> 3  (2.4%, 100%)
fact -> 3  (2.4%, 100%)
large -> 3  (2.4%, 100%)
ordered -> 3  (2.4%, 100%)
owned -> 3  (2.4%, 100%)
side -> 3  (2.4%, 100%)
temperature -> 3  (2.4%, 100%)
weeks -> 3  (2.4%, 100%)
difference -> dryer  (2.4%, 82.7586%)
getting -> hair  (2.4%, 82.7586%)
air,im -> 3  (2.4%, 100%)
air,long -> 3  (2.4%, 100%)
blows -> 3  (2.3%, 100%)
brush -> 3  (2.3%, 100%)
curly -> 3  (2.3%, 100%)
end -> 3  (2.3%, 100%)
hand -> 3  (2.3%, 100%)
home -> 3  (2.3%, 100%)
issue -> 3  (2.3%, 100%)
larger -> 3  (2.3%, 100%)
left -> 3  (2.3%, 100%)
return -> 3  (2.3%, 100%)
style -> 3  (2.3%, 100%)
tried -> 3  (2.3%, 100%)
away -> hair  (2.3%, 85.1852%)
curly -> hair  (2.3%, 100%)
dried -> dryer  (2.3%, 82.1429%)
ionic -> hair  (2.3%, 88.4615%)
super -> hair  (2.3%, 85.1852%)
try -> hair  (2.3%, 82.1429%)
air,br -> 3  (2.3%, 100%)
air,low -> 3  (2.3%, 100%)
annoying -> 3  (2.2%, 100%)
days -> 3  (2.2%, 100%)
fan -> 3  (2.2%, 100%)
happy -> 3  (2.2%, 100%)
lightweight -> 3  (2.2%, 100%)
noise -> 3  (2.2%, 100%)
quieter -> 3  (2.2%, 100%)
sometimes -> 3  (2.2%, 100%)
special -> 3  (2.2%, 100%)
took -> 3  (2.2%, 100%)
update -> 3  (2.2%, 100%)
comes -> dryer  (2.2%, 81.4815%)
